date,vwretd,vwretx,t90ret,div_price,div_growth
1926,0.098488,0.043046,0.036026,0.05315393568452387,NA
1927,0.32872,0.266483,0.030917,0.04914159921609684,1.1708822535622834
1928,0.391397,0.337056,0.044427,0.04064227676327681,1.1058044684512398
1929,-0.150955,-0.182395,0.049219,0.03845377657915505,0.7735787092618873
1930,-0.289005,-0.321455,0.027487,0.04782291520827675,0.843870300572521
1931,-0.44388,-0.476975,0.00707,0.06327613402800991,0.6920322580893628
1932,-0.079448,-0.140667,0.008713,0.0712401362452042,0.967489574709175
1933,0.574131,0.509127,0.004655,0.04307390961794466,0.9124631622862169
1934,0.031846,-0.009581,0.003301,0.0418277516889316,0.9617654948772376
1935,0.454487,0.395966,0.001619,0.041921508116959716,1.399095041856757
1936,0.323153,0.266819,0.0018600000000000001,0.04446886256047633,1.3437970753063064
1937,-0.346044,-0.380994,0.004442,0.05646148825697983,0.7859431968260734
1938,0.284359,0.23026,4.36e-4,0.043973631590070505,0.9581575277253228
1939,0.018435,-0.028978,1.73e-4,0.04882793592730117,1.0782143363093522
1940,-0.075104,-0.127508,1.92e-4,0.06006244183327736,1.0732380758019955
1941,-0.100387,-0.161102,-0.00681,0.07237471063228185,1.0108646626211768
1942,0.167218,0.090504,0.003953,0.07034728895996722,1.0599558786461352
1943,0.279687,0.21598,0.004073,0.05239148670208382,0.9056070381938081
1944,0.21364,0.154754,0.003977,0.05099441093081292,1.1239612331454951
1945,0.390593,0.335428,0.003996,0.04130885379069471,1.081785219067349
1946,-0.064212,-0.101652,0.003822,0.04167649953024877,0.9063432306716219
1947,0.032933,-0.02283,0.005704,0.0570658124993606,1.337996247970093
1948,0.021313,-0.040738,0.008594,0.0646861858386969,1.0873585651776239
1949,0.201096,0.121244,NA,0.07121732646952861,1.23445213169812
1950,0.30473,0.217426,NA,0.07171195620924786,1.2258814578971047
1951,0.209441,0.142646,0.015681,0.05845642482448632,0.9314346383899959
1952,0.133324,0.074015,0.019072,0.0552217613348045,1.0145847984729406
1953,0.003843,-0.050273,0.022213,0.056980584947042834,0.9799759857694467
1954,0.50412,0.433636,0.011279,0.049164502007483124,1.2369827383398604
